Frame, Time (ms), Delta (ms) , Memory (mb)
  785,3611.937, 4.354,5760
  786,3616.414, 4.477,5760
  787,3620.763, 4.349,5760
  788,3624.996, 4.233,5760
  789,3629.562, 4.566,5760
  790,3633.722, 4.160,5760
  791,3638.078, 4.356,5760
  792,3642.483, 4.405,5760
  793,3646.903, 4.420,5760
  794,3651.094, 4.191,5760
  795,3655.507, 4.413,5760
  796,3659.846, 4.339,5760
  797,3664.296, 4.450,5760
  798,3668.653, 4.357,5760
  799,3672.961, 4.308,5760
  800,3677.290, 4.329,5760
  801,3681.747, 4.457,5760
  802,3686.051, 4.304,5760
  803,3690.537, 4.486,5760
  804,3694.713, 4.176,5760
  805,3699.107, 4.394,5760
  806,3703.510, 4.403,5760
  807,3707.932, 4.422,5760
  808,3712.198, 4.266,5760
  809,3716.962, 4.764,5760
  810,3721.341, 4.379,5760
  811,3725.696, 4.355,5760
  812,3730.017, 4.321,5760
  813,3734.394, 4.377,5760
  814,3738.789, 4.395,5760
  815,3743.152, 4.363,5760
  816,3747.450, 4.298,5760
  817,3752.033, 4.583,5760
  818,3756.219, 4.186,5760
  819,3760.734, 4.515,5760
  820,3764.878, 4.144,5760
  821,3769.281, 4.403,5760
  822,3773.550, 4.269,5760
  823,3777.911, 4.361,5760
  824,3782.239, 4.328,5760
  825,3786.604, 4.365,5760
  826,3790.891, 4.287,5760
  827,3795.319, 4.428,5760
  828,3799.544, 4.225,5760
  829,3803.984, 4.440,5760
  830,3808.240, 4.256,5760
  831,3812.608, 4.368,5760
  832,3817.068, 4.460,5760
  833,3821.456, 4.388,5760
  834,3825.679, 4.223,5760
  835,3830.040, 4.361,5760
  836,3834.376, 4.336,5760
  837,3838.655, 4.279,5760
  838,3842.998, 4.343,5760
  839,3847.494, 4.496,5760
  840,3851.692, 4.198,5760
  841,3856.024, 4.332,5760
  842,3860.352, 4.328,5760
  843,3864.768, 4.416,5760
  844,3869.056, 4.288,5760
  845,3873.340, 4.284,5760
  846,3877.705, 4.365,5760
  847,3882.036, 4.331,5760
  848,3886.412, 4.376,5760
  849,3890.782, 4.370,5758
  850,3895.080, 4.298,5758
  851,3899.484, 4.404,5758
  852,3903.795, 4.311,5758
  853,3908.168, 4.373,5758
  854,3912.459, 4.291,5758
  855,3916.788, 4.329,5758
  856,3921.103, 4.315,5758
  857,3925.437, 4.334,5758
  858,3929.787, 4.350,5758
  859,3934.092, 4.305,5758
  860,3938.399, 4.307,5758
  861,3942.752, 4.353,5758
  862,3947.096, 4.344,5758
  863,3951.489, 4.393,5758
  864,3955.685, 4.196,5758
  865,3959.995, 4.310,5758
  866,3964.282, 4.287,5758
  867,3968.711, 4.429,5758
  868,3973.013, 4.302,5758
  869,3977.309, 4.296,5758
  870,3981.517, 4.208,5758
  871,3985.825, 4.308,5758
  872,3990.191, 4.366,5758
  873,3994.571, 4.380,5758
  874,3998.842, 4.271,5758
  875,4003.337, 4.495,5758
  876,4007.746, 4.409,5758
  877,4012.126, 4.380,5758
  878,4016.655, 4.529,5758
